"psu","sp.map","county","spid","segment","icf1","icf2","icf2a.1","icf2a.2","icf2a.3","icf2a.4","icf2a.5","icf2a.6","icf2a.7","icf2a.8","icf2a.9","icf2a.10","icf2a.11","icf3"
"224307","224",2,24,307,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"224307","224",2,24,307,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"224307","224",2,24,307,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"224311","224",2,24,311,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"224310","224",2,24,310,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"224306","224",2,24,306,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"224306","224",2,24,306,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"224305","224",2,24,305,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"224305","224",2,24,305,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"224304","224",2,24,304,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"221270","221",2,21,270,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"221272","221",2,21,272,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"221272","221",2,21,272,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"221272","221",2,21,272,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"221272","221",2,21,272,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"221269","221",2,21,269,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"211131","211",2,11,131,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"230382","230",2,30,382,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"230379","230",2,30,379,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"230380","230",2,30,380,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"230385","230",2,30,385,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"230377","230",2,30,377,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"225321","225",2,25,321,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
